id,invoice_id,invoice_number,po_number,po_id,vendor_id,vendor_name,invoice_date,due_date,currency,subtotal,discount,shipping,tax_rate,tax_amount,total,status,payment_status,payment_date,created_by,created_at,approved_by,approved_at,validation_status,validation_errors,ocr_confidence,attachment_name,notes
1,INVREC00001,INV-00001,PO-2023-1103,PO1103,VEND091,Ingersoll Rand,2023-01-13,2023-02-12,GBP,305319.56,13736.25,3338.07,5,15265.98,323923.61,Rejected,Unpaid,None,OCR Workflow,2023-01-13T00:00:00Z,EMP024,2023-01-18,Passed,,93.2,INV-00001.pdf,Payment pending approval.
2,INVREC00002,INV-00002,PO-2026-0474,PO0474,VEND010,Tech Solutions Ltd,2026-03-28,2026-05-27,USD,97458.34,0,46.48,5,4872.92,102377.74,Pending,Unpaid,None,Manual Entry,2026-03-28T00:00:00Z,None,None,Pending Approval,,94.3,INV-00002.pdf,Three-way match completed.
3,INVREC00003,INV-00003,PO-2026-0019,PO0019,VEND008,DHL Express,2026-12-17,2026-12-17,INR,426060.13,0,263.51,5,21303.01,447626.65,Paid,Paid,2026-12-17,System Integration,2026-12-17T00:00:00Z,EMP001,2026-12-22,Passed,,97.8,INV-00003.pdf,Three-way match completed.
4,INVREC00004,INV-00004,PO-2025-0735,PO0735,VEND068,Securitas AB,2025-05-22,2025-06-21,EUR,292444.97,0,0,0,0,292444.97,Rejected,Unpaid,None,System Integration,2025-05-22T00:00:00Z,EMP011,2025-05-27,Passed,,90.5,INV-00004.pdf,Three-way match completed.
5,INVREC00005,INV-00005,PO-2026-0821,PO0821,VEND039,Oracle Corporation,2026-08-21,2026-09-20,CHF,341896.18,0,0,0,0,341896.18,Paid,Paid,2026-09-10,System Integration,2026-08-21T00:00:00Z,EMP018,2026-08-28,Passed,,86.1,INV-00005.pdf,Three-way match completed.
6,INVREC00006,INV-00006,PO-2026-0871,PO0871,VEND098,Michelin North America,2026-04-06,2026-04-21,USD,39284.85,0,0,20,7856.97,47141.82,Paid,Paid,2026-04-14,System Integration,2026-04-06T00:00:00Z,EMP031,2026-04-11,Passed,,97.4,INV-00006.pdf,Three-way match completed.
7,INVREC00007,INV-00007,PO-2024-0043,PO0043,VEND024,Schneider Electric,2024-08-31,2024-09-30,USD,304624.32,0,0,10,30462.43,335086.75,Paid,Paid,2024-09-02,OCR Workflow,2024-08-31T00:00:00Z,EMP028,2024-09-03,Passed,,91.1,INV-00007.pdf,Three-way match completed.
8,INVREC00008,INV-00008,PO-2024-0086,PO0086,VEND086,W.W. Grainger International,2024-02-25,2024-03-26,EUR,496876.89,0,0,20,99375.38,596252.27,Rejected,Unpaid,None,System Integration,2024-02-25T00:00:00Z,EMP015,2024-02-26,Passed,,91.4,INV-00008.pdf,Invoice under review.
9,INVREC00009,INV-00009,PO-2025-1092,PO1092,VEND053,S&P Global Inc.,2025-04-19,2025-06-03,SEK,475787.28,14748.39,1101.85,10,47578.73,524467.86,Pending,Unpaid,None,OCR Workflow,2025-04-19T00:00:00Z,None,None,Pending Approval,,86.6,INV-00009.pdf,Three-way match completed.
10,INVREC00010,INV-00010,PO-2024-0450,PO0450,VEND075,T-Mobile for Business,2024-12-11,2025-01-10,GBP,177740.64,0,0,10,17774.06,195514.7,Paid,Paid,2024-12-29,System Integration,2024-12-11T00:00:00Z,EMP034,2024-12-17,Passed,,97.5,INV-00010.pdf,Matched successfully against PO.
11,INVREC00011,INV-00011,PO-2023-0454,PO0454,VEND091,Ingersoll Rand,2023-09-01,2023-10-01,GBP,112327.96,0,0,20,22465.59,134793.55,Paid,Paid,2023-09-15,System Integration,2023-09-01T00:00:00Z,EMP009,2023-09-08,Passed,,93.4,INV-00011.pdf,Payment pending approval.
12,INVREC00012,INV-00012,PO-2023-1445,PO1445,VEND093,Regal Beloit Corporation,2023-12-17,2024-01-16,CHF,461329.15,0,4547.8,20,92265.83,558142.78,Paid,Paid,2023-12-25,OCR Workflow,2023-12-17T00:00:00Z,EMP030,2023-12-20,Passed,,89.6,INV-00012.pdf,Invoice under review.
13,INVREC00013,INV-00013,PO-2025-0352,PO0352,VEND099,Bridgestone Americas,2025-04-14,2025-04-14,USD,36442.39,0,0,20,7288.48,43730.87,Paid,Paid,2025-04-14,Manual Entry,2025-04-14T00:00:00Z,EMP005,2025-04-21,Passed,,98.6,INV-00013.pdf,Invoice under review.
