id,po_id,po_number,vendor_id,vendor_name,requester_id,requester_name,department_id,department_name,po_date,expected_delivery_date,received_date,currency,payment_term_id,payment_term_name,subtotal,tax,shipping,total,po_status,approval_status,approved_by,approved_at,received_status,shipping_terms,delivery_address,notes,created_at,created_by
1,PO0001,PO-2025-0001,VEND080,Ecolab Inc.,EMP022,Cynthia Lewis,DEPT002,Procurement,2025-03-30,2025-04-16,2025-04-17,INR,PT004,Net 45,275195.08,0,0,275195.08,Open,Draft,None,None,Not Received,Ex-Works,"804 Main St, Phoenix, NY 16888",,2025-03-30T13:00:00Z,Marketing Team
2,PO0002,PO-2024-0002,VEND016,New Horizons,EMP040,Melissa Torres,DEPT010,Executive Management,2024-06-09,2024-07-19,2024-07-17,GBP,PT004,Net 45,479687.99,95937.6,1280.11,576905.7,Pending Approval,Approved,EMP030,2024-06-12,Not Received,CIF,"484 Market St, New York, IL 64706",Urgent,2024-06-09T17:00:00Z,Procurement Team
3,PO0003,PO-2025-0003,VEND083,MSC Industrial Direct,EMP024,Kimberly White,DEPT004,Information Technology,2025-08-07,2025-09-11,2025-09-10,SEK,PT002,Net 15,338914.98,61004.7,0,399919.68,Open,Approved,EMP020,2025-08-08,Not Received,Ex-Works,"396 Oak Ave, New York, TX 65421",Keep in warehouse,2025-08-07T13:00:00Z,Marketing Team
4,PO0004,PO-2025-0004,VEND091,Ingersoll Rand,EMP022,Cynthia Lewis,DEPT002,Procurement,2025-09-10,2025-10-17,2025-10-15,GBP,PT003,Net 30,354663.37,35466.34,0,390129.71,Open,Approved,EMP031,2025-09-12,Not Received,Ex-Works,"691 Oak Ave, Phoenix, IL 41058",Expedite shipping,2025-09-10T12:00:00Z,Procurement Team
5,PO0005,PO-2023-0005,VEND017,Pinnacle Partners,EMP009,Thomas Brown,DEPT009,Warehouse & Logistics,2023-04-27,2023-06-11,2023-06-12,CHF,PT002,Net 15,117249.13,0,2893.3,120142.43,Open,Submitted,None,None,Not Received,CIF,"161 Market St, Houston, AZ 53484",,2023-04-27T14:00:00Z,IT Team
6,PO0006,PO-2025-0006,VEND088,Makita Corporation,EMP029,Jennifer Lee,DEPT009,Warehouse & Logistics,2025-06-07,2025-07-11,None,CHF,PT001,Immediate,63432.32,11417.82,0,74850.14,Cancelled,Approved,EMP014,2025-06-11,Not Received,FOB Destination,"380 Oak Ave, Chicago, IL 40034",,2025-06-07T14:00:00Z,Marketing Team
7,PO0007,PO-2025-0007,VEND034,C.H. Robinson Worldwide,EMP003,Michael Johnson,DEPT003,Operations,2025-12-08,2026-01-04,2026-01-01,SEK,PT005,Net 60,47220.45,9444.09,500.07,57164.61,Closed,Approved,EMP019,2025-12-10,Fully Received,Ex-Works,"277 Oak Ave, New York, NY 57763",Expedite shipping,2025-12-08T15:00:00Z,IT Team
8,PO0008,PO-2026-0008,VEND057,Ernst & Young LLP,EMP003,Michael Johnson,DEPT003,Operations,2026-11-25,2026-12-18,None,INR,PT003,Net 30,387180.78,38718.08,0,425898.86,Closed,Approved,EMP036,2026-11-27,Fully Received,FOB Destination,"455 Market St, Los Angeles, AZ 91983",Urgent,2026-11-25T13:00:00Z,Sales Team
9,PO0009,PO-2024-0009,VEND038,Penske Logistics,EMP019,Rachel Rodriguez,DEPT009,Warehouse & Logistics,2024-02-23,2024-04-01,2024-03-29,SEK,PT001,Immediate,254292.48,0,4332.89,258625.37,Open,Approved,EMP031,2024-02-28,Not Received,FOB Origin,"622 Main St, Phoenix, TX 71850",Urgent,2024-02-23T16:00:00Z,Procurement Team
10,PO0010,PO-2024-0010,VEND004,Dell Technologies,EMP018,Andrew Kim,DEPT008,Legal & Compliance,2024-01-29,2024-03-11,2024-03-16,CHF,PT004,Net 45,335034.4,60306.19,1659.28,396999.87,Closed,Approved,EMP006,2024-02-03,Fully Received,FOB Destination,"335 Main St, Houston, AZ 86444",Urgent,2024-01-29T16:00:00Z,Marketing Team
