id,invoice_item_id,invoice_id,line_number,item_code,description,quantity,unit,unit_price,discount,tax_rate,tax_amount,line_total,po_number,received_quantity,matching_status,notes
9,INVREC001-01,INVREC001,1,ABCD-200,Industrial Fasteners,58,Box,2128.94,0,5,6173.91,123478.26,PO-2025-1001,58,Matched,Ready for payment.
10,INVREC001-02,INVREC001,2,ABCD-100,Steel Coils,1,Ton,135652.17,0,5,6782.61,135652.17,PO-2025-1001,1,Matched,Matched to purchase order.
11,INVREC001-03,INVREC001,3,ABCD-300,Packaging Film,11,Roll,12806.32,0,5,7043.48,140869.57,PO-2025-1001,11,Matched,Three-way match completed.
12,INVREC0011-01,INVREC0011,1,STP-PENS,Ballpoint Pens (Box),35,Box,14.39,0,7.5,37.78,503.69,PO-2025-1845,35,Matched,Successfully matched against PO.
13,INVREC0011-02,INVREC0011,2,STP-INK,Ink Cartridge,21,Each,37.87,0,7.5,59.65,795.31,PO-2025-1845,21,Matched,Three-way match completed.
14,INVREC0012-01,INVREC0012,1,OFW-CABIN,Filing Cabinet,6,Unit,853.93,0,7.5,384.27,5123.6,PO-2025-2301,6,Matched,Successfully matched against PO.
15,INVREC0012-02,INVREC0012,2,OFW-BOOK,Bookshelf,2,Unit,5038.2,0,7.5,748.23,10076.4,PO-2025-2301,2,Matched,Validated automatically.
16,INVREC0013-01,INVREC0013,1,DHL-INT,International Shipping,2,Shipment,123.97,0,0,0,247.93,PO-2025-3003,2,Matched,Ready for payment.
17,INVREC0013-02,INVREC0013,2,DHL-FUEL,Fuel Surcharge,1,Percent,273.75,0,0,0,273.75,PO-2025-3003,1,Matched,Successfully matched against PO.
18,INVREC0013-03,INVREC0013,3,DHL-EXP,Express Delivery,2,Shipment,169.16,0,0,0,338.32,PO-2025-3003,2,Matched,Validated automatically.
19,INVREC0014-01,INVREC0014,1,GEN-002,Miscellaneous Supplies,14,Each,208.18,0,20,582.91,2914.57,PO-2025-3004,14,Matched,Three-way match completed.
20,INVREC0014-02,INVREC0014,2,GEN-001,General Services,21,Hour,337.4,0,20,1417.09,7085.43,PO-2025-3004,21,Matched,Ready for payment.
21,INVREC0015-01,INVREC0015,1,ELT-002,Facility Maintenance,8,Hour,356.96,0,6.67,190.47,2855.65,PO-2025-3006,8,Matched,Ready for payment.
22,INVREC0015-02,INVREC0015,2,ELT-001,Janitorial Services,9,Visit,516.04,371.55,6.67,309.53,4644.35,PO-2025-3006,9,Matched,Successfully matched against PO.
23,INVREC0016-01,INVREC0016,1,QL-001,Domestic Freight,36,Pallet,41.52,0,10,149.49,1494.88,PO-2025-3007,36,Matched,Three-way match completed.
24,INVREC0016-02,INVREC0016,2,QL-002,Courier Services,72,Package,20.9,0,10,150.51,1505.12,PO-2025-3007,72,Matched,Successfully matched against PO.
25,INVREC0017-01,INVREC0017,1,BBY-002,Audio System,3,Unit,247.83,0,10,74.35,743.48,PO-2025-3009,3,Matched,Ready for payment.
